rollout_id,source_experiment,policy,horizon,benchmark_task_id,task_name,episode_index,init_state_index,seed,success,steps,trajectory_file,trajectory_slot,trajectory_sha256,render_video_file,render_video_sha256,has_actions,has_rewards,has_render_video,has_observation_state,has_dual_camera_observations,wm_v1_eligible,visual_action_only_candidate
expert_only-h10-task04-init00,stage9_task5_finetune_eval,expert_only,10,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0,0,1000,True,124,stage9_task5_finetune_eval/trajectories/task_04.npz,0,2120af8a495a247e23d19220584e48162e69f2e5ac2e891bb03b10581d797fe7,stage9_task5_finetune_eval/videos/task_04/episode_00.mp4,6c352f3d7085e00efbaafeffe23b22a8c0cfb7b1bece079b6cb1711964346192,True,True,True,False,False,False,True
expert_only-h10-task04-init01,stage9_task5_finetune_eval,expert_only,10,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,1,1,1001,False,280,stage9_task5_finetune_eval/trajectories/task_04.npz,1,2120af8a495a247e23d19220584e48162e69f2e5ac2e891bb03b10581d797fe7,stage9_task5_finetune_eval/videos/task_04/episode_01.mp4,e821ff90d5f4a495e84aa83381e2873526f97e632ed3b67182a94420bee33995,True,True,True,False,False,False,True
expert_only-h10-task04-init02,stage9_task5_finetune_eval,expert_only,10,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,2,2,1002,True,131,stage9_task5_finetune_eval/trajectories/task_04.npz,2,2120af8a495a247e23d19220584e48162e69f2e5ac2e891bb03b10581d797fe7,stage9_task5_finetune_eval/videos/task_04/episode_02.mp4,024a3a1773e2391b52f63fdeedba03045fe55ed0adf22ba12f81a1f5881fc439,True,True,True,False,False,False,True
expert_only-h10-task05-init00,stage9_task5_finetune_eval,expert_only,10,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,0,1000,False,280,stage9_task5_finetune_eval/trajectories/task_05.npz,0,3b1fc5d18e7c509f13b29b76cb27cae07477b862cb9fe7707b608d864014f45f,stage9_task5_finetune_eval/videos/task_05/episode_00.mp4,436f3ba7c62504cb69eca6b0129fb7fb57986dc792b7cb71d639ef61c59ef733,True,True,True,False,False,False,True
expert_only-h10-task05-init01,stage9_task5_finetune_eval,expert_only,10,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,1,1,1001,False,280,stage9_task5_finetune_eval/trajectories/task_05.npz,1,3b1fc5d18e7c509f13b29b76cb27cae07477b862cb9fe7707b608d864014f45f,stage9_task5_finetune_eval/videos/task_05/episode_01.mp4,4c2ff3dcd59a1e39fbdda2c3a6850c3c62417f41ecbada95024e6a2887385e36,True,True,True,False,False,False,True
expert_only-h10-task05-init02,stage9_task5_finetune_eval,expert_only,10,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,2,2,1002,False,280,stage9_task5_finetune_eval/trajectories/task_05.npz,2,3b1fc5d18e7c509f13b29b76cb27cae07477b862cb9fe7707b608d864014f45f,stage9_task5_finetune_eval/videos/task_05/episode_02.mp4,688992fca85ca397eaed71a896c2140c8e92c67517ac61b6ea79ff54118687b7,True,True,True,False,False,False,True
expert_only-h10-task07-init00,stage9_task5_finetune_eval,expert_only,10,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,0,1000,True,112,stage9_task5_finetune_eval/trajectories/task_07.npz,0,a3a969e4f267944b54793bba9706791d805a413dc720a7bac734f8c16c7fac2f,stage9_task5_finetune_eval/videos/task_07/episode_00.mp4,ed1367d00e5edf84277a6232f26e5161f1b6854c3ab72c6eee0c8a4530d071a4,True,True,True,False,False,False,True
expert_only-h10-task07-init01,stage9_task5_finetune_eval,expert_only,10,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1,1,1001,True,114,stage9_task5_finetune_eval/trajectories/task_07.npz,1,a3a969e4f267944b54793bba9706791d805a413dc720a7bac734f8c16c7fac2f,stage9_task5_finetune_eval/videos/task_07/episode_01.mp4,7fbb8aaaf74a0ac3e10cc7426c9e3568fb52d7c67bfcb29a1ffc7b8e97a80f20,True,True,True,False,False,False,True
expert_only-h10-task07-init02,stage9_task5_finetune_eval,expert_only,10,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,2,2,1002,False,280,stage9_task5_finetune_eval/trajectories/task_07.npz,2,a3a969e4f267944b54793bba9706791d805a413dc720a7bac734f8c16c7fac2f,stage9_task5_finetune_eval/videos/task_07/episode_02.mp4,305badcdca2c55c85e7919bd862a14a420376d23ea9f8c3a09af26f1c111c8d1,True,True,True,False,False,False,True
expert_only-h10-task08-init00,stage9_task5_finetune_eval,expert_only,10,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0,0,1000,True,91,stage9_task5_finetune_eval/trajectories/task_08.npz,0,113395f5ab435b51f1a1521eff10f3c0cec0c82ab88acacd994cd059db5744b3,stage9_task5_finetune_eval/videos/task_08/episode_00.mp4,55e3da21e4f640d4d73dfc8a85228a88630ade0c2c283e1d673de7163a5c2cf9,True,True,True,False,False,False,True
