episode_index,split,benchmark_task_id,dataset_task_index,task_prompt,length,data_file,camera1_video_file,camera1_from_seconds,camera1_to_seconds,camera2_video_file,camera2_from_seconds,camera2_to_seconds,valid_windows_h10,valid_windows_h25,valid_windows_h50
1261,validation,6,30,pick up the black bowl next to the cookie box and place it on the plate,110,data/chunk-000/file-308.parquet,videos/observation.images.image/chunk-000/file-027.mp4,474.0,485.0,videos/observation.images.image2/chunk-000/file-027.mp4,474.0,485.0,100,85,60
1262,train,4,31,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,138,data/chunk-000/file-308.parquet,videos/observation.images.image/chunk-000/file-027.mp4,485.0,498.8,videos/observation.images.image2/chunk-000/file-027.mp4,485.0,498.8,128,113,88
1263,validation,4,31,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,127,data/chunk-000/file-308.parquet,videos/observation.images.image/chunk-000/file-027.mp4,498.8,511.5,videos/observation.images.image2/chunk-000/file-027.mp4,498.8,511.5,117,102,77
1264,train,5,32,pick up the black bowl on the ramekin and place it on the plate,100,data/chunk-000/file-308.parquet,videos/observation.images.image/chunk-000/file-027.mp4,511.5,521.5,videos/observation.images.image2/chunk-000/file-027.mp4,511.5,521.5,90,75,50
1265,train,5,32,pick up the black bowl on the ramekin and place it on the plate,116,data/chunk-000/file-308.parquet,videos/observation.images.image/chunk-000/file-027.mp4,521.5,533.1,videos/observation.images.image2/chunk-000/file-027.mp4,521.5,533.1,106,91,66
1266,train,5,32,pick up the black bowl on the ramekin and place it on the plate,107,data/chunk-000/file-309.parquet,videos/observation.images.image/chunk-000/file-027.mp4,533.1,543.8000000000001,videos/observation.images.image2/chunk-000/file-027.mp4,533.1,543.8000000000001,97,82,57
1267,train,7,33,pick up the black bowl on the stove and place it on the plate,124,data/chunk-000/file-309.parquet,videos/observation.images.image/chunk-000/file-027.mp4,543.8000000000001,556.2,videos/observation.images.image2/chunk-000/file-027.mp4,543.8000000000001,556.2,114,99,74
1268,validation,4,31,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,129,data/chunk-000/file-309.parquet,videos/observation.images.image/chunk-000/file-027.mp4,556.2,569.1,videos/observation.images.image2/chunk-000/file-027.mp4,556.2,569.1,119,104,79
1269,validation,7,33,pick up the black bowl on the stove and place it on the plate,139,data/chunk-000/file-309.parquet,videos/observation.images.image/chunk-000/file-027.mp4,569.1,583.0,videos/observation.images.image2/chunk-000/file-027.mp4,569.1,583.0,129,114,89
1270,validation,7,33,pick up the black bowl on the stove and place it on the plate,148,data/chunk-000/file-309.parquet,videos/observation.images.image/chunk-000/file-027.mp4,583.0,597.8,videos/observation.images.image2/chunk-000/file-027.mp4,583.0,597.8,138,123,98
1271,train,5,32,pick up the black bowl on the ramekin and place it on the plate,101,data/chunk-000/file-309.parquet,videos/observation.images.image/chunk-000/file-027.mp4,597.8,607.9,videos/observation.images.image2/chunk-000/file-027.mp4,597.8,607.9,91,76,51
1272,train,0,34,pick up the black bowl between the plate and the ramekin and place it on the plate,84,data/chunk-000/file-309.parquet,videos/observation.images.image/chunk-000/file-027.mp4,607.9,616.3,videos/observation.images.image2/chunk-000/file-027.mp4,607.9,616.3,74,59,34
1273,train,0,34,pick up the black bowl between the plate and the ramekin and place it on the plate,85,data/chunk-000/file-310.parquet,videos/observation.images.image/chunk-000/file-027.mp4,616.3,624.8,videos/observation.images.image2/chunk-000/file-027.mp4,616.3,624.8,75,60,35
1274,test,6,30,pick up the black bowl next to the cookie box and place it on the plate,113,data/chunk-000/file-310.parquet,videos/observation.images.image/chunk-000/file-027.mp4,624.8,636.0999999999999,videos/observation.images.image2/chunk-000/file-027.mp4,624.8,636.0999999999999,103,88,63
1275,train,0,34,pick up the black bowl between the plate and the ramekin and place it on the plate,128,data/chunk-000/file-310.parquet,videos/observation.images.image/chunk-000/file-027.mp4,636.0999999999999,648.8999999999999,videos/observation.images.image2/chunk-000/file-027.mp4,636.0999999999999,648.8999999999999,118,103,78
1276,train,4,31,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,140,data/chunk-000/file-310.parquet,videos/observation.images.image/chunk-000/file-027.mp4,648.8999999999999,662.8999999999999,videos/observation.images.image2/chunk-000/file-027.mp4,648.8999999999999,662.8999999999999,130,115,90
1277,validation,6,30,pick up the black bowl next to the cookie box and place it on the plate,111,data/chunk-000/file-310.parquet,videos/observation.images.image/chunk-000/file-027.mp4,662.8999999999999,673.9999999999999,videos/observation.images.image2/chunk-000/file-027.mp4,662.8999999999999,673.9999999999999,101,86,61
1278,train,3,35,pick up the black bowl on the cookie box and place it on the plate,101,data/chunk-000/file-310.parquet,videos/observation.images.image/chunk-000/file-028.mp4,0.0,10.1,videos/observation.images.image2/chunk-000/file-028.mp4,0.0,10.1,91,76,51
1279,test,3,35,pick up the black bowl on the cookie box and place it on the plate,96,data/chunk-000/file-310.parquet,videos/observation.images.image/chunk-000/file-028.mp4,10.1,19.7,videos/observation.images.image2/chunk-000/file-028.mp4,10.1,19.7,86,71,46
1280,validation,8,36,pick up the black bowl next to the plate and place it on the plate,107,data/chunk-000/file-311.parquet,videos/observation.images.image/chunk-000/file-028.mp4,19.7,30.4,videos/observation.images.image2/chunk-000/file-028.mp4,19.7,30.4,97,82,57
1281,train,1,37,pick up the black bowl next to the ramekin and place it on the plate,112,data/chunk-000/file-311.parquet,videos/observation.images.image/chunk-000/file-028.mp4,30.4,41.599999999999994,videos/observation.images.image2/chunk-000/file-028.mp4,30.4,41.599999999999994,102,87,62
