candidate_id,benchmark_task_id,task_name,init_state_index,episode_seed,screen_rank_within_task,success,steps,initial_observation_sha256,action_sha256,historical_scout_success,historical_scout_steps,historical_scout_initial_observation_sha256,initial_observation_matches_historical_scout,selected_for_full_pair,world_model_scores_computed
task04-init10,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,10,180410,0,False,280,2d25a31300724139b14592ef509d6ea4d52f7978b895f55649ce599f0f88ccfe,b5cdaa26ae4358fe8073b460ea656471c2a93c6381a41722fba2806b2884386e,True,129,c29b4437ae81970891baf8a8f4c73bf1c01227b35b23680456b399aaa2de235c,False,False,False
task04-init08,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,8,180408,1,True,131,2150c62bc3b487f102508e42f81fa7b331947e030cd1a2a5a87be31f5f35c6f5,aa44a3666078729b97f05b83505498b419b11faeb69fb40b125453edce12c9f4,True,130,e42d0e96e923b3cbedb7c5e6e8d0c9225d80afd0e6ddf01dff97865c6f33dd34,False,True,False
task04-init14,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,14,180414,2,False,280,4d109759bac3a8defccb8eac1821087c482e1c765544d422b7c097cdc4aa9984,b15706ba87113c5f82cadcc7f7fe4043cd09f7a01545b7d2943fd1d66cdcd853,True,132,2929a3b5d2b37ca058d852090421e0ac66694bad1839143d57d21331543f32b0,False,False,False
task04-init05,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,5,180405,3,True,122,1b6bd9871c0985bc8b2f71476701ab41cc66ea160eefa1ac438176cdccfcd7b5,4e7ffef7141e58e4a90a9aa83da44b4cdfb2d228e2a7e40034f069c6d519489e,True,123,9080a41a8550f06088f77f8b48ef05bf8b74e598116560ba372295f3af78e4bb,False,True,False
task07-init06,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,6,180706,0,True,108,b797e87930073e1d8c198e5bb0fc2a0218077f2921bd85d81437ca76a7d18d3e,a4919b2f49c5f782079523a5058fbbb05fe19fdcf238d728bc4b95e7509ed2e1,True,108,b797e87930073e1d8c198e5bb0fc2a0218077f2921bd85d81437ca76a7d18d3e,True,True,False
task07-init04,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,4,180704,1,True,119,4d57f799373ce0666a9b9c697f40faa4b08a9c5c2e275d663a6d5cd7903a3268,fcc0b46b69b5faa286cf53f6060c432ff73e3070c1a1beb805ba7e36df30606c,True,119,4d57f799373ce0666a9b9c697f40faa4b08a9c5c2e275d663a6d5cd7903a3268,True,True,False
task07-init07,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,180707,2,True,109,b0875e24fe26079ed4849134a05133f66c4f00f1295ea27c501b144f6a456c1d,511588a12996f32bf0f73c447b4233544f73b4b6b7f0160dabc57b11b12755cf,True,109,b0875e24fe26079ed4849134a05133f66c4f00f1295ea27c501b144f6a456c1d,True,False,False
task07-init14,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,14,180714,3,True,122,bf89496ee7e234e8dae37f1fd76ee62d659d040efb5537cca767918896b4b259,1c2e992ad200c1a1f1f767c29bc0688668e4b36cd842ba47dac9b0f0f50b5aa3,True,122,bf89496ee7e234e8dae37f1fd76ee62d659d040efb5537cca767918896b4b259,True,False,False
task08-init14,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,14,180814,0,True,91,c71ee540e387394dcbb486e8992d3108ed78894f6b7a7935efcd1ac486b43a5a,43df8b452c51a4612d44c56a96864a9a626b3e337167606ba6a8aff6af16281e,True,91,c71ee540e387394dcbb486e8992d3108ed78894f6b7a7935efcd1ac486b43a5a,True,True,False
task08-init24,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,24,180824,1,True,93,e16a9ab5802471f155702ab042195148b44d77ae81bc510fcd59c57d9021c0c4,96191376204429727f268384d475c06f4e76995adc90b139121a088a1305a345,True,93,e16a9ab5802471f155702ab042195148b44d77ae81bc510fcd59c57d9021c0c4,True,True,False
task08-init03,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,3,180803,2,True,92,80cc0eb2bb529adb581d02cd6a4b7a3d72b6d70714539f0fda3e89ff121e6ea3,e8a319ef833d97b599a1834a5368f3a41a9f0cad1c38c861ce8a0b46c4ce4f1a,True,92,80cc0eb2bb529adb581d02cd6a4b7a3d72b6d70714539f0fda3e89ff121e6ea3,True,False,False
task08-init07,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,7,180807,3,True,89,ba29198bfaa5ef1cae57d1c648e0c6340704e0303deaa2b4ec194f332f212ed9,ec751cb80cc5aa29d75b503ff7d07899ea68f9a6b3493ba6fa4ee965d9569fcf,True,89,ba29198bfaa5ef1cae57d1c648e0c6340704e0303deaa2b4ec194f332f212ed9,True,False,False
