rollout_id,benchmark_task_id,task_name,init_state_index,episode_seed,success,steps,cumulative_reward,initial_observation_sha256,action_sha256,official_libero_initial_state,complete_observations_saved,test_demonstration_episode_used
pretrained-h10-task04-init03,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,3,180403,False,280,0.0,33c0851c12be3f82d15bbcfb900e2304c041cfc73498f98c7f9d37521f0f7dc9,f44770a67ee4871f0e712b2e298ea9a904847fe242dc6c0c5943acd78bf7793e,True,False,False
pretrained-h10-task04-init04,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,180404,True,124,1.0,81f04cfe33c18b7f3321cb7b138c431d881b48c6e70f90e41b8f0ea811ce8624,ef799b1877371bcccfde368d16421457e61760f7ba61d4182d69c979db570b2b,True,False,False
pretrained-h10-task04-init05,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,5,180405,True,123,1.0,9080a41a8550f06088f77f8b48ef05bf8b74e598116560ba372295f3af78e4bb,2f044c218a3c946264221087648e7e5487386c52ff78d11ee217ac0f7eaa08a5,True,False,False
pretrained-h10-task04-init06,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,6,180406,False,280,0.0,54e4bb8bb2cc664773319dec98e4863e3113cce3626dabb16f75560012d8c587,b434acb8b3bed871d21dc0c0307da13b1f3256e9a0deea39943cee38ff2482f1,True,False,False
pretrained-h10-task04-init07,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,7,180407,True,137,1.0,9169bacc590ea153b79ab9d2f65431c4e163125632b11fb2136b37b3bca932a6,7a505ad4f2c00f3ece8d266d6932c8605e49a4a8e1be88b80e54e45a3aadea9a,True,False,False
pretrained-h10-task04-init08,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,8,180408,True,130,1.0,e42d0e96e923b3cbedb7c5e6e8d0c9225d80afd0e6ddf01dff97865c6f33dd34,8e35007b657c8156876a29ceff9998ff0a17e9eabffa3fae81b2b362ac652c30,True,False,False
pretrained-h10-task04-init09,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,9,180409,False,280,0.0,31160e53df73066320238ef4dc7e7fb03395e76ab8359c181c49854f0c95954d,4d73187be4e743a9cc6456157a6d502e696a1a9b574465c2e9c8a728c3cf34bd,True,False,False
pretrained-h10-task04-init10,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,10,180410,True,129,1.0,c29b4437ae81970891baf8a8f4c73bf1c01227b35b23680456b399aaa2de235c,a248e593f37bc981e40219f76cda654f30604a0e30bdceaf6197399c2287cf80,True,False,False
pretrained-h10-task04-init11,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,11,180411,True,132,1.0,0f0ec78fc445dfc4bf0dd94f6b26b90cc4cf3ce54af83090bff3f32e7f1ab778,c7556490a82d221a1ee2be369aee2636155b846a8f45ba14a0169142ed866dac,True,False,False
pretrained-h10-task04-init12,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,12,180412,True,147,1.0,47f50e175d8a870a1bdd6e2b1706851f2cf281038b38812baa9a48760968a4ef,920af265c8628c6c9885ac4b0bb0a1948bf4c05fd0b0b9a214b8f51bae5d9e7a,True,False,False
