episode_id,policy,task_id,task_name,init_state_index,environment_seed,policy_seed,action_horizon,success,control_steps,primary_failure_code,label_source,review_status,reviewer,notes_zh,video_path,video_sha256,contact_sheet_path,contact_sheet_sha256,automatic_progress_fields_json
formal-pretrained-h50-task00-init02-legacy-batch3,pretrained,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,2,1002,1000,50,False,280,approach_but_grasp_failed,human_contact_sheet,confirmed,Codex visual review,,external_asset_root/stage6_full_spatial_benchmark/videos/task_00/episode_02.mp4,4b7354488d7f8282db14ed295d8bcf8aca21f800fc18656e8e29df127ae1c7a9,outputs/statistical_evaluation_v1/failure_review/contact_sheets/000_formal-pretrained-h50-task00-init02-legacy-batch3.png,1a0e227c773b940fbd3f3a72ec7a895e0e0e74e8b5c574506a24a90afa93ea80,"{""censored"": true, ""contact_sheet_sample_indices"": [0, 25, 51, 76, 102, 127, 153, 178, 204, 229, 255, 280], ""contact_sheet_source_frame_count"": 281, ""logical_vlm_forward_count"": 6, ""max_reward"": 0.0, ""sum_reward"": 0.0}"
formal-pretrained-h50-task04-init01-legacy-batch3,pretrained,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,1,1001,1004,50,False,280,dropped_after_grasp,human_contact_sheet,confirmed,Codex visual review,,external_asset_root/stage6_full_spatial_benchmark/videos/task_04/episode_01.mp4,7abae0bd4e7adc5b7a55e050204a0ffc33f6eb74c45162c4448e62b999fbd9d6,outputs/statistical_evaluation_v1/failure_review/contact_sheets/001_formal-pretrained-h50-task04-init01-legacy-batch3.png,bbbff980309f25d229ca1ea0d094914b8e67bbcff8a40a179dbaab717e936adc,"{""censored"": true, ""contact_sheet_sample_indices"": [0, 25, 51, 76, 102, 127, 153, 178, 204, 229, 255, 280], ""contact_sheet_source_frame_count"": 281, ""logical_vlm_forward_count"": 6, ""max_reward"": 0.0, ""sum_reward"": 0.0}"
formal-pretrained-h50-task04-init02-legacy-batch3,pretrained,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,2,1002,1004,50,False,280,dropped_after_grasp,human_contact_sheet,confirmed,Codex visual review,,external_asset_root/stage6_full_spatial_benchmark/videos/task_04/episode_02.mp4,07a0aaa02c825fab1301a302e71c1e11116f805295c04b6d1c82741cf7877918,outputs/statistical_evaluation_v1/failure_review/contact_sheets/002_formal-pretrained-h50-task04-init02-legacy-batch3.png,9af8803db6a7993c473428e435bf680601d089d47ae737719f9307fc28cce987,"{""censored"": true, ""contact_sheet_sample_indices"": [0, 25, 51, 76, 102, 127, 153, 178, 204, 229, 255, 280], ""contact_sheet_source_frame_count"": 281, ""logical_vlm_forward_count"": 6, ""max_reward"": 0.0, ""sum_reward"": 0.0}"
formal-pretrained-h50-task05-init00-legacy-batch3,pretrained,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,1000,1005,50,False,280,approach_but_grasp_failed,human_contact_sheet,confirmed,Codex visual review,,external_asset_root/stage6_full_spatial_benchmark/videos/task_05/episode_00.mp4,f7969eea40460698b39e053365e4b5b240437f2f958097b063539a8911297d01,outputs/statistical_evaluation_v1/failure_review/contact_sheets/003_formal-pretrained-h50-task05-init00-legacy-batch3.png,1a0802b470ea853258fc8468884cceb9d90769f790c8d3f7d5e937c8740c4a58,"{""censored"": true, ""contact_sheet_sample_indices"": [0, 25, 51, 76, 102, 127, 153, 178, 204, 229, 255, 280], ""contact_sheet_source_frame_count"": 281, ""logical_vlm_forward_count"": 6, ""max_reward"": 0.0, ""sum_reward"": 0.0}"
formal-pretrained-h50-task05-init01-legacy-batch3,pretrained,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,1,1001,1005,50,False,280,dropped_after_grasp,human_contact_sheet,confirmed,Codex visual review,,external_asset_root/stage6_full_spatial_benchmark/videos/task_05/episode_01.mp4,67a529fe164e63084667a6a73d8bb0d116873aed3273d3280780efc3d7164a03,outputs/statistical_evaluation_v1/failure_review/contact_sheets/004_formal-pretrained-h50-task05-init01-legacy-batch3.png,38963452821e491a23ef095b7634eb01dea3bcc9cc5a93f5cbb3091a7b1394d5,"{""censored"": true, ""contact_sheet_sample_indices"": [0, 25, 51, 76, 102, 127, 153, 178, 204, 229, 255, 280], ""contact_sheet_source_frame_count"": 281, ""logical_vlm_forward_count"": 6, ""max_reward"": 0.0, ""sum_reward"": 0.0}"
formal-pretrained-h50-task05-init02-legacy-batch3,pretrained,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,2,1002,1005,50,False,280,wrong_placement_location,human_contact_sheet,confirmed,Codex visual review,,external_asset_root/stage6_full_spatial_benchmark/videos/task_05/episode_02.mp4,70f76071eb4c2aa712c13fb300a94d61bbc14cefc9519a88d4c182720f0ed9fc,outputs/statistical_evaluation_v1/failure_review/contact_sheets/005_formal-pretrained-h50-task05-init02-legacy-batch3.png,f7f22dc5c490bc7c3b7a7d22326fc49f7d87a8a3c2b369c6509b8b6dbfe8b6ce,"{""censored"": true, ""contact_sheet_sample_indices"": [0, 25, 51, 76, 102, 127, 153, 178, 204, 229, 255, 280], ""contact_sheet_source_frame_count"": 281, ""logical_vlm_forward_count"": 6, ""max_reward"": 0.0, ""sum_reward"": 0.0}"
formal-pretrained-h50-task06-init00-legacy-batch3,pretrained,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,1000,1006,50,False,280,object_or_target_misidentified,human_contact_sheet,confirmed,Codex visual review,,external_asset_root/stage6_full_spatial_benchmark/videos/task_06/episode_00.mp4,c10d35bb1085230cc92b8b2e97de7ca081d6fdf5f584efa66304937637e0a2af,outputs/statistical_evaluation_v1/failure_review/contact_sheets/006_formal-pretrained-h50-task06-init00-legacy-batch3.png,b99f23bb1efd7857553da808e90929ef8a4f990aa4c658cb53afa066d4b0a116,"{""censored"": true, ""contact_sheet_sample_indices"": [0, 25, 51, 76, 102, 127, 153, 178, 204, 229, 255, 280], ""contact_sheet_source_frame_count"": 281, ""logical_vlm_forward_count"": 6, ""max_reward"": 0.0, ""sum_reward"": 0.0}"
formal-pretrained-h50-task07-init00-legacy-batch3,pretrained,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,1000,1007,50,False,280,placed_but_not_stable_success,human_contact_sheet,confirmed,Codex visual review,,external_asset_root/stage6_full_spatial_benchmark/videos/task_07/episode_00.mp4,5275b1b3793c37f5c9dc0c25d8e461d0e38b6c6dd6321b64a31cbc7908e9842d,outputs/statistical_evaluation_v1/failure_review/contact_sheets/007_formal-pretrained-h50-task07-init00-legacy-batch3.png,f26e9d4ae2efc962546a853efe20e937278491c8df69eaed41cd983de5884ac8,"{""censored"": true, ""contact_sheet_sample_indices"": [0, 25, 51, 76, 102, 127, 153, 178, 204, 229, 255, 280], ""contact_sheet_source_frame_count"": 281, ""logical_vlm_forward_count"": 6, ""max_reward"": 0.0, ""sum_reward"": 0.0}"
formal-pretrained-h50-task07-init01-legacy-batch3,pretrained,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1,1001,1007,50,False,280,wrong_placement_location,human_contact_sheet,confirmed,Codex visual review,,external_asset_root/stage6_full_spatial_benchmark/videos/task_07/episode_01.mp4,c7a3ec65c0c1f5de3451e88c343b148855516700147ad65e82531f2625c2a193,outputs/statistical_evaluation_v1/failure_review/contact_sheets/008_formal-pretrained-h50-task07-init01-legacy-batch3.png,c947b770b3a2a09ac31b457a18e1d8eaa83ed2d7556d5d585193facb3024bb19,"{""censored"": true, ""contact_sheet_sample_indices"": [0, 25, 51, 76, 102, 127, 153, 178, 204, 229, 255, 280], ""contact_sheet_source_frame_count"": 281, ""logical_vlm_forward_count"": 6, ""max_reward"": 0.0, ""sum_reward"": 0.0}"
formal-pretrained-h50-task07-init02-legacy-batch3,pretrained,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,2,1002,1007,50,False,280,approach_but_grasp_failed,human_contact_sheet,confirmed,Codex visual review,,external_asset_root/stage6_full_spatial_benchmark/videos/task_07/episode_02.mp4,54f7683c2f7aaa85e871293235fa8c9265523aca9595189a33e3cb087eced546,outputs/statistical_evaluation_v1/failure_review/contact_sheets/009_formal-pretrained-h50-task07-init02-legacy-batch3.png,f4d93079f057bf871848451f171e91fa1571dfa42309fb61cd6a30ec1a091ee4,"{""censored"": true, ""contact_sheet_sample_indices"": [0, 25, 51, 76, 102, 127, 153, 178, 204, 229, 255, 280], ""contact_sheet_source_frame_count"": 281, ""logical_vlm_forward_count"": 6, ""max_reward"": 0.0, ""sum_reward"": 0.0}"
