candidate_id,benchmark_task_id,task_name,init_state_index,episode_seed,screen_rank_within_task,success,steps,scoreable_through_h10_post,initial_observation_sha256,action_sha256,historical_scout_steps,selected_for_confirmation,world_model_scores_computed
task04-init07,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,7,180407,0,True,126,True,d5e38f08bf88d27ef5e796233f6864a81d0e39f388be40e1a0d61ff81b9f3302,d05b2889f648efd6bb6cb96618d0cc2c56c917dd287a87a20181a46a7462f26d,137,True,False
task04-init04,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,180404,1,False,280,False,53a4e257d6dccf033373bff059f91f1ccfb59592719e60ca9c933ddf7d1fa589,3152150852cf7f7b955b72ff34760370af2dab3b78bc77ea48ef24605653a0b0,124,False,False
task04-init12,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,12,180412,2,True,137,True,19acf5293ed1adfddfb0916cfb872713b334a47a8ff37833e537dad91bbe63a7,ef6123b3acad2af6dc10903cb6b7d1b86bcfaec9f12b7746ed715db49a4c066c,147,True,False
task04-init11,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,11,180411,3,True,133,True,fdb4076695c7b1a9fd3d6c31e94a52cf9eee5bce08d3e516a0d1808d9288fb7e,102f89f62e23e96e4bf38a5a8713a1f6281a20192b3602a418cc2640bf507a7c,132,False,False
task07-init05,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,5,180705,0,True,120,True,d07795d8f6691683e98d6ca17edf6c70392f2aaa3132c215793420afc99e58b4,4a410a88a50d6b8f66581191269958ba28b51437223dd0adb5e952b3be74fcd7,120,True,False
task07-init09,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,9,180709,1,True,124,True,3326d98318e7a3778a2cfa0de08f957861a7ba748e791f5c405d44f967402164,3f0edf25a812174ecae57bc8bd9b9b07e31a949e2e7f2b747bb576a9eede9915,124,True,False
task07-init03,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,3,180703,2,True,110,True,372c404659b7364a9b636a8b0be27f8a5d0e4d23dba41d521b1f4b4629f52a7c,48af6dfdcb676c55745dcddd56b286987895d131e95434c0ed3ea0551f069a93,110,False,False
task07-init12,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,12,180712,3,True,104,True,fcfa6290ccec4c0e0e953a690fde26dc0f1e68b7113a3106291d0d5f5582bbf3,b7fda5d63dec9ed62e1f199edaa146c6f58209e07ad7dad300d4e37f16ad2ffe,104,False,False
task08-init11,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,11,180811,0,True,94,True,338db1a2d63c118d04002de365c23ce34c1feaff1a38e8ee8623c50301748bd7,3281b69e5e205cbcb6a0333a2a821fea3ab92086f43ec372b30f0d340af10d74,94,True,False
task08-init26,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,26,180826,1,True,91,True,41bca4d2a29cf952438ec86daf2624fd3a05ec0adaf05e5f96bb065f26f766f7,a5828e5a415863b2f8bcb6a6d895257eb2baf72331f45dcda3d9f572ee43e29d,91,True,False
task08-init18,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,18,180818,2,True,94,True,b3d9ff35d31714f679fab7d7797a885c06085ba88368c302a5190a271687106f,0e14dec217df6494c19e909aec5ee62ce8bdab85dc93a5f1e3989df1c882b719,94,False,False
task08-init13,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,13,180813,3,True,91,True,969993914c8320036c18a90a4b96f8a7a09951c30d97d6b0215f5b6c174af4e3,5f83c570c50beb3145b92e8e11ad40900340e2865d7c4766bcb622559a238eea,91,False,False
