horizon,source,suite,task_id,task_name,episode_index,init_state_index,seed,success,steps,sum_reward,max_reward,terminated_before_limit,video
50,stage6_baseline,libero_spatial,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0,0,1000,True,130,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_04/episode_00.mp4
50,stage6_baseline,libero_spatial,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,1,1,1001,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_04/episode_01.mp4
50,stage6_baseline,libero_spatial,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,2,2,1002,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_04/episode_02.mp4
50,stage6_baseline,libero_spatial,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,0,1000,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_05/episode_00.mp4
50,stage6_baseline,libero_spatial,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,1,1,1001,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_05/episode_01.mp4
50,stage6_baseline,libero_spatial,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,2,2,1002,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_05/episode_02.mp4
50,stage6_baseline,libero_spatial,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,0,1000,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_07/episode_00.mp4
50,stage6_baseline,libero_spatial,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1,1,1001,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_07/episode_01.mp4
50,stage6_baseline,libero_spatial,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,2,2,1002,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_07/episode_02.mp4
50,stage6_baseline,libero_spatial,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0,0,1000,True,95,1.0,1.0,True,outputs/stage6_full_spatial_benchmark/videos/task_08/episode_00.mp4
50,stage6_baseline,libero_spatial,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,1,1,1001,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_08/episode_01.mp4
50,stage6_baseline,libero_spatial,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,2,2,1002,False,280,0.0,0.0,False,outputs/stage6_full_spatial_benchmark/videos/task_08/episode_02.mp4
25,stage7_ablation,libero_spatial,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0,0,1000,True,128,1.0,1.0,True,outputs/stage7_action_horizon_ablation/videos/horizon_25/task_04/episode_00.mp4
